sym,fold,env,entry_time,exit_time,pnl,r_multiple,win,exit_type,holding_bars
SUSHI-USDT-SWAP,4,,2026-04-16T16:00:00.000,2026-04-16T17:00:00.000,-110.4538,-1.0173,0,SL,1
SUSHI-USDT-SWAP,4,,2026-04-16T18:00:00.000,2026-04-17T05:00:00.000,-110.1876,-1.0169,0,SL,11
SUSHI-USDT-SWAP,5,,2026-06-03T18:00:00.000,2026-06-03T20:00:00.000,-106.4248,-1.0106,0,SL,2
STX-USDT-SWAP,3,,2026-02-25T16:00:00.000,2026-02-25T19:00:00.000,190.1196,2.0,1,TP,3
STX-USDT-SWAP,4,,2026-04-15T20:00:00.000,2026-04-15T21:00:00.000,-116.5532,-1.0275,0,SL,1
STX-USDT-SWAP,4,,2026-04-16T16:00:00.000,2026-04-16T20:00:00.000,191.2085,2.0,1,TP,4
XLM-USDT-SWAP,4,,2026-04-16T16:00:00.000,2026-04-16T17:00:00.000,-117.3306,-1.0288,0,SL,1
XLM-USDT-SWAP,4,,2026-04-16T18:00:00.000,2026-04-16T20:00:00.000,189.1574,2.0,1,TP,2
XLM-USDT-SWAP,5,,2026-05-27T16:00:00.000,2026-05-27T18:00:00.000,-112.9908,-1.0216,0,SL,2
XLM-USDT-SWAP,5,E2,2026-05-28T16:00:00.000,2026-05-28T17:00:00.000,196.4113,2.0,1,TP,1
XLM-USDT-SWAP,5,,2026-05-28T18:00:00.000,2026-05-28T19:00:00.000,-104.8573,-1.008,0,SL,1
