feat_a,val_a,feat_b,val_b,n,win_rate,profit_factor,expectancy_r
atr_rank_pct,1,regime_code,1,285,0.3684210526315789,1.108872380219482,0.10526315789473684
session_code,0,regime_code,0,354,0.3700564971751412,1.1072632071807431,0.11016949152542366
dist_from_low20_pct,0,realized_vol,1,171,0.3742690058479532,1.1052613856534694,0.12280701754385959
regime_code,0,rel_vol,0,293,0.37542662116040953,1.1038146017378216,0.12627986348122866
rsi14,0,ema200_slope_pct,2,220,0.37272727272727274,1.1027051554575444,0.11818181818181828
ema200_slope_pct,1,dist_from_low20_pct,2,151,0.36423841059602646,1.0995127991812998,0.09271523178807939
adx14,2,realized_vol,1,215,0.3674418604651163,1.0989671446172695,0.10232558139534886
adx14,1,rsi14,2,182,0.3626373626373626,1.0949662594837184,0.08791208791208793
atr_rank_pct,1,ema200_slope_pct,1,193,0.36787564766839376,1.0889063728100565,0.10362694300518127
dist_from_low20_pct,1,bb_width,2,115,0.3652173913043478,1.0867891972680501,0.09565217391304348
realized_vol,0,session_code,1,255,0.3686274509803922,1.0854757407952107,0.10588235294117654
adx14,0,dist_from_low20_pct,0,241,0.36929460580912865,1.0828751251982052,0.10788381742738595
adx14,0,ema200_slope_pct,2,170,0.36470588235294116,1.0826600032206741,0.09411764705882353
atr_rank_pct,1,adx14,2,179,0.36312849162011174,1.082029280315307,0.08938547486033521
dist_from_low20_pct,0,regime_code,0,327,0.37003058103975534,1.08078837282369,0.11009174311926595
dist_from_ema200_pct,1,realized_vol,1,214,0.3644859813084112,1.0748094830462842,0.09345794392523354
adx14,0,realized_vol,0,199,0.36683417085427134,1.0742019204704247,0.10050251256281395
dist_from_ema200_pct,1,rel_vol,0,216,0.37037037037037035,1.0730064998931064,0.11111111111111105
adx14,0,rel_vol,0,188,0.3670212765957447,1.070703230484253,0.10106382978723405
dist_from_ema200_pct,1,hour_utc,1,177,0.3615819209039548,1.0692808015613826,0.0847457627118644
atr_rank_pct,0,rsi14,1,207,0.36231884057971014,1.068321089735453,0.08695652173913049
dist_from_ema200_pct,2,hour_utc,0,186,0.3602150537634409,1.0682106059362722,0.08064516129032262
regime_code,1,rel_vol,0,302,0.3675496688741722,1.0672579076143238,0.10264900662251653
session_code,0,rel_vol,2,152,0.35526315789473684,1.0664267524586148,0.06578947368421051
atr_rank_pct,1,dist_from_low20_pct,1,192,0.359375,1.0649954730080016,0.078125
adx14,2,rel_vol,0,202,0.36633663366336633,1.0648347943488041,0.09900990099009899
bb_width,0,rel_vol,1,173,0.36416184971098264,1.0638368679067962,0.09248554913294793
dist_from_ema200_pct,1,bb_width,0,230,0.3652173913043478,1.0631413900929636,0.09565217391304348
ema200_slope_pct,1,realized_vol,0,274,0.36496350364963503,1.0605146502250902,0.0948905109489051
adx14,0,ema200_slope_pct,1,207,0.36231884057971014,1.0602240205371385,0.08695652173913049
dist_from_low20_pct,0,rel_vol,2,136,0.3602941176470588,1.0597923157492422,0.08088235294117652
dist_from_low20_pct,1,hour_utc,0,228,0.35964912280701755,1.058915085858799,0.07894736842105265
rsi14,2,regime_code,0,228,0.35526315789473684,1.0587868374238034,0.06578947368421051
rsi14,1,rel_vol,0,189,0.36507936507936506,1.0575249836827054,0.09523809523809523
dist_from_ema200_pct,0,rel_vol,0,202,0.36633663366336633,1.0568578371681252,0.09900990099009899
hour_utc,0,session_code,0,645,0.35968992248062015,1.0539479037899864,0.07906976744186045
adx14,0,hour_utc,1,216,0.35648148148148145,1.05112456917439,0.06944444444444431
dist_from_ema200_pct,0,bb_width,2,152,0.35526315789473684,1.0510388983411683,0.06578947368421051
adx14,2,rsi14,1,165,0.3575757575757576,1.049434698972952,0.07272727272727286
dist_from_low20_pct,2,rel_vol,0,117,0.358974358974359,1.0481107486435848,0.07692307692307698
ema200_slope_pct,2,rel_vol,0,227,0.36123348017621143,1.0479363458965665,0.08370044052863423
dist_from_low20_pct,1,session_code,0,255,0.3568627450980392,1.046523317571853,0.07058823529411773
atr_rank_pct,1,hour_utc,0,233,0.3562231759656652,1.038952973348068,0.06866952789699565
bb_width,2,realized_vol,1,193,0.35233160621761656,1.033955861397425,0.05699481865284961
ema200_slope_pct,2,session_code,1,254,0.35039370078740156,1.0325956811878945,0.051181102362204745
rsi14,1,dist_from_ema200_pct,1,183,0.3551912568306011,1.0309701078053863,0.06557377049180324
ema200_slope_pct,2,hour_utc,0,226,0.35398230088495575,1.0293264599503194,0.06194690265486724
atr_rank_pct,1,bb_width,2,201,0.3482587064676617,1.0275671680320755,0.04477611940298509
dist_from_ema200_pct,2,session_code,0,211,0.35071090047393366,1.0271926578270714,0.05213270142180104
atr_rank_pct,1,rel_vol,2,208,0.34615384615384615,1.0248753394322008,0.038461538461538436
realized_vol,2,rel_vol,2,201,0.34328358208955223,1.0242291751867074,0.02985074626865669
